radius ,lambda,r/ lambda,Theta (incident angle),Background1 RI,Backgrnd2 RI,Ri1 of particle 1,Loss1 of particle 1,Kai1 of particle 1,Ri2 of particle 2,Loss2 of particle 2,Kai2 of particle 2,Ri3 of particle 3,Loss3 of particle 3,Kai3 of particle 3,Force F1,Force F2,Force F3,Class Label
100,616,0.162337662,30,1.33,1.33,0.38236,2.5938,0,0.38236,2.5938,0,0.38236,2.5938,0,push,push,push,Negative Class
100,617,0.162074554,30,1.33,1.33,0.36146,2.6547,0,0.36146,2.6547,0,0.36146,2.6547,0,push,push,push,Negative Class
100,618,0.161812298,30,1.33,1.33,0.34057,2.7156,0,0.34057,2.7156,0,0.34057,2.7156,0,push,push,push,Negative Class
100,619,0.161550889,30,1.33,1.33,0.31967,2.7765,0,0.31967,2.7765,0,0.31967,2.7765,0,push,push,push,Negative Class
100,620,0.161290323,30,1.33,1.33,0.29878,2.8374,0,0.29878,2.8374,0,0.29878,2.8374,0,push,push,push,Negative Class
100,621,0.161030596,30,1.33,1.33,2.8331,2.8972,0,2.8331,2.8972,0,2.8331,2.8972,0,push,push,push,Negative Class
100,622,0.160771704,30,1.33,1.33,0.27179,2.9561,0,0.27179,2.9561,0,0.27179,2.9561,0,push,push,push,Negative Class
100,623,0.160513644,30,1.33,1.33,0.325,7.5542,0,0.325,7.5542,0,0.325,7.5542,0,push,push,push,Negative Class
100,624,0.16025641,30,1.33,1.33,0.26026,3.015,0,0.26026,3.015,0,0.26026,3.015,0,push,push,push,Negative Class
100,625,0.16,30,1.33,1.33,0.2372,3.1329,0,0.2372,3.1329,0,0.2372,3.1329,0,push,push,push,Negative Class
100,626,0.159744409,30,1.33,1.33,0.22568,3.1919,0,0.22568,3.1919,0,0.22568,3.1919,0,push,push,push,Negative Class
100,627,0.159489633,30,1.33,1.33,0.71912,2.225,0,0.71912,2.225,0,0.71912,2.225,0,push,push,push,Negative Class
100,628,0.159235669,30,1.33,1.33,0.63512,2.0721,0,0.63512,2.0721,0,0.63512,2.0721,0,push,push,push,Negative Class
100,629,0.158982512,30,1.33,1.33,0.59188,2.1364,0,0.59188,2.1364,0,0.59188,2.1364,0,push,push,push,Negative Class
100,630,0.158730159,30,1.33,1.33,0.55758,2.2039,0,0.55758,2.2039,0,0.55758,2.2039,0,push,push,push,Negative Class
100,631,0.158478605,30,1.33,1.33,0.52329,2.2714,0,0.52329,2.2714,0,0.52329,2.2714,0,push,push,push,Negative Class
100,632,0.158227848,30,1.33,1.33,0.48899,2.3389,0,0.48899,2.3389,0,0.48899,2.3389,0,push,push,push,Negative Class
100,633,0.157977883,30,1.33,1.33,0.45469,2.4064,0,0.45469,2.4064,0,0.45469,2.4064,0,push,push,push,Negative Class
100,634,0.157728707,30,1.33,1.33,0.42415,2.4721,0,0.42415,2.4721,0,0.42415,2.4721,0,push,push,push,Negative Class
100,635,0.157480315,30,1.33,1.33,0.40325,2.5329,0,0.40325,2.5329,0,0.40325,2.5329,0,push,push,push,Negative Class
100,636,0.157232704,30,1.33,1.33,0.38236,2.5938,0,0.38236,2.5938,0,0.38236,2.5938,0,push,push,push,Negative Class
100,637,0.156985871,30,1.33,1.33,0.36146,2.6547,0,0.36146,2.6547,0,0.36146,2.6547,0,push,push,push,Negative Class
100,638,0.156739812,30,1.33,1.33,0.34057,2.7156,0,0.34057,2.7156,0,0.34057,2.7156,0,push,push,push,Negative Class
100,639,0.156494523,30,1.33,1.33,0.31967,2.7765,0,0.31967,2.7765,0,0.31967,2.7765,0,push,push,push,Negative Class
100,640,0.15625,30,1.33,1.33,0.29878,2.8374,0,0.29878,2.8374,0,0.29878,2.8374,0,push,push,push,Negative Class
100,641,0.15600624,30,1.33,1.33,2.8331,2.8972,0,2.8331,2.8972,0,2.8331,2.8972,0,push,push,push,Negative Class
100,642,0.15576324,30,1.33,1.33,0.27179,2.9561,0,0.27179,2.9561,0,0.27179,2.9561,0,push,push,push,Negative Class
100,643,0.155520995,30,1.33,1.33,0.325,7.5542,0,0.325,7.5542,0,0.325,7.5542,0,push,push,push,Negative Class
100,644,0.155279503,30,1.33,1.33,0.26026,3.015,0,0.26026,3.015,0,0.26026,3.015,0,push,push,push,Negative Class
100,645,0.15503876,30,1.33,1.33,0.2372,3.1329,0,0.2372,3.1329,0,0.2372,3.1329,0,push,push,push,Negative Class
100,646,0.154798762,30,1.33,1.33,0.22568,3.1919,0,0.22568,3.1919,0,0.22568,3.1919,0,push,push,push,Negative Class
100,647,0.154559505,30,1.33,1.33,1.215,1.8434,0,1.215,1.8434,0,1.215,1.8434,0,push,push,push,Negative Class
100,648,0.154320988,30,1.33,1.33,1.1601,1.8401,0,1.1601,1.8401,0,1.1601,1.8401,0,push,push,push,Negative Class
100,649,0.154083205,30,1.33,1.33,1.105,1.8369,0,1.105,1.8369,0,1.105,1.8369,0,push,push,push,Negative Class
100,650,0.153846154,30,1.33,1.33,1.0499,1.8336,0,1.0499,1.8336,0,1.0499,1.8336,0,push,push,push,Negative Class
100,600,0.166666667,30,1.33,1.33,1.215,1.8434,0,1.215,1.8434,0,1.215,1.8434,0,push,push,push,Negative Class
100,600,0.166666667,30,1.33,1.33,1.1601,1.8401,0,1.1601,1.8401,0,1.1601,1.8401,0,push,push,push,Negative Class
100,601,0.166389351,30,1.33,1.33,1.105,1.8369,0,1.105,1.8369,0,1.105,1.8369,0,push,push,push,Negative Class
100,602,0.166112957,30,1.33,1.33,1.0499,1.8336,0,1.0499,1.8336,0,1.0499,1.8336,0,push,push,push,Negative Class
